GO ID	Total	Under	Over	Change	P-Value (Under)	P-Value (Over)	P-Value (Changed)	Term
0045792	2	0	0	0	1,0000	1,0000	1,0000	negative regulation of cell size
0045787	1	0	0	0	1,0000	1,0000	1,0000	positive regulation of cell cycle
0045786	39	0	0	0	1,0000	1,0000	1,0000	negative regulation of cell cycle
0045785	1	0	0	0	1,0000	1,0000	1,0000	positive regulation of cell adhesion
0045779	2	0	0	0	1,0000	1,0000	1,0000	negative regulation of bone resorption
0045778	1	0	0	0	1,0000	1,0000	1,0000	positive regulation of ossification
0045773	3	0	1	1	1,0000	0,0341	0,0440	positive regulation of axon extension
0045766	1	0	0	0	1,0000	1,0000	1,0000	positive regulation of angiogenesis
0045765	10	0	0	0	1,0000	1,0000	1,0000	regulation of angiogenesis
0045762	11	0	0	0	1,0000	1,0000	1,0000	positive regulation of adenylate cyclase activity
0045761	11	0	0	0	1,0000	1,0000	1,0000	regulation of adenylate cyclase activity
0045745	4	0	0	0	1,0000	1,0000	1,0000	positive regulation of G-protein coupled receptor protein signaling pathway
0045744	1	0	0	0	1,0000	1,0000	1,0000	negative regulation of G-protein coupled receptor protein signaling pathway
0045742	2	0	0	0	1,0000	1,0000	1,0000	positive regulation of epidermal growth factor receptor signaling pathway
0045736	4	0	0	0	1,0000	1,0000	1,0000	negative regulation of cyclin dependent protein kinase activity
0045733	1	0	0	0	1,0000	1,0000	1,0000	acetate catabolism
0045727	15	0	0	0	1,0000	1,0000	1,0000	positive regulation of protein biosynthesis
0019478	1	0	0	0	1,0000	1,0000	1,0000	D-amino acid catabolism
0019471	3	0	0	0	1,0000	1,0000	1,0000	4-hydroxyproline metabolism
0007499	1	0	0	0	1,0000	1,0000	1,0000	ectoderm/mesoderm interaction
0007498	14	0	0	0	1,0000	1,0000	1,0000	mesoderm development
0007495	1	0	0	0	1,0000	1,0000	1,0000	visceral mesoderm/endoderm interaction
0007494	1	0	0	0	1,0000	1,0000	1,0000	midgut development
0007492	10	0	0	0	1,0000	1,0000	1,0000	endoderm development
0019452	2	0	0	0	1,0000	1,0000	1,0000	L-cysteine catabolism to taurine
0019448	2	0	0	0	1,0000	1,0000	1,0000	L-cysteine catabolism
0019441	1	0	0	0	1,0000	1,0000	1,0000	tryptophan catabolism to kynurenine
0019439	8	0	0	0	1,0000	1,0000	1,0000	aromatic compound catabolism
0019438	7	0	0	0	1,0000	1,0000	1,0000	aromatic compound biosynthesis
0019433	1	0	0	0	1,0000	1,0000	1,0000	triacylglycerol catabolism
0019432	2	0	0	0	1,0000	1,0000	1,0000	triacylglycerol biosynthesis
0019430	1	0	0	0	1,0000	1,0000	1,0000	removal of superoxide radicals
0007468	2	0	0	0	1,0000	1,0000	1,0000	regulation of rhodopsin gene activity
0015074	2	0	0	0	1,0000	1,0000	1,0000	DNA integration
0007456	1	0	0	0	1,0000	1,0000	1,0000	eye morphogenesis (sensu Drosophila)
0007455	1	0	0	0	1,0000	1,0000	1,0000	eye-antennal disc metamorphosis
0007452	1	0	0	0	1,0000	1,0000	1,0000	imaginal disc metamorphosis
0019413	6	0	0	0	1,0000	1,0000	1,0000	acetate biosynthesis
0007444	1	0	0	0	1,0000	1,0000	1,0000	imaginal disc development
0007439	1	0	0	0	1,0000	1,0000	1,0000	ectodermal gut morphogenesis
0007435	5	0	0	0	1,0000	1,0000	1,0000	salivary gland morphogenesis
0007431	7	0	0	0	1,0000	1,0000	1,0000	salivary gland development
0007423	15	0	0	0	1,0000	1,0000	1,0000	sensory organ development
0007422	25	0	0	0	1,0000	1,0000	1,0000	peripheral nervous system development
0015031	328	0	2	2	1,0000	0,8955	0,9586	protein transport
0007420	37	0	0	0	1,0000	1,0000	1,0000	brain development
0007417	50	0	0	0	1,0000	1,0000	1,0000	central nervous system development
0007416	6	0	0	0	1,0000	1,0000	1,0000	synaptogenesis
0007411	35	0	1	1	1,0000	0,3335	0,4087	axon guidance
0007409	60	0	2	2	1,0000	0,1516	0,2244	axonogenesis
0007406	1	0	0	0	1,0000	1,0000	1,0000	suppression of neuroblast proliferation
0015014	1	0	0	0	1,0000	1,0000	1,0000	heparan sulfate proteoglycan biosynthesis, polysaccharide chain biosynthesis
0007405	4	0	0	0	1,0000	1,0000	1,0000	neuroblast proliferation
0015012	3	0	0	0	1,0000	1,0000	1,0000	heparan sulfate proteoglycan biosynthesis
0007403	1	0	0	0	1,0000	1,0000	1,0000	glial cell fate determination
0007400	2	0	0	0	1,0000	1,0000	1,0000	neuroblast cell fate determination
0018992	1	0	0	0	1,0000	1,0000	1,0000	germ-line sex determination
0046173	1	0	0	0	1,0000	1,0000	1,0000	polyol biosynthesis
0046165	16	1	0	1	0,0526	1,0000	0,2134	alcohol biosynthesis
0046164	37	0	0	0	1,0000	1,0000	1,0000	alcohol catabolism
0006998	1	0	0	0	1,0000	1,0000	1,0000	nuclear membrane organization and biogenesis
0006997	123	0	1	1	1,0000	0,7612	0,8434	nuclear organization and biogenesis
0006996	315	0	12	12	1,0000	0,0003	0,0026	organelle organization and biogenesis
0006991	2	0	0	0	1,0000	1,0000	1,0000	response to sterol depletion
0006990	1	0	0	0	1,0000	1,0000	1,0000	unfolded protein response, target gene transcriptional activation
0046149	1	0	0	0	1,0000	1,0000	1,0000	pigment catabolism
0046148	15	1	0	1	0,0494	1,0000	0,2015	pigment biosynthesis
0046146	4	0	0	0	1,0000	1,0000	1,0000	tetrahydrobiopterin metabolism
0018958	11	0	1	1	1,0000	0,1196	0,1521	phenol metabolism
0006986	6	0	0	0	1,0000	1,0000	1,0000	response to unfolded protein
0006983	4	0	0	0	1,0000	1,0000	1,0000	response to ER-overload
0046139	5	0	0	0	1,0000	1,0000	1,0000	coenzyme and prosthetic group catabolism
0046138	58	0	0	0	1,0000	1,0000	1,0000	coenzyme and prosthetic group biosynthesis
0006979	29	0	0	0	1,0000	1,0000	1,0000	response to oxidative stress
0006974	128	0	1	1	1,0000	0,7747	0,8549	response to DNA damage stimulus
0006972	4	0	0	0	1,0000	1,0000	1,0000	hyperosmotic response
0006970	5	0	0	0	1,0000	1,0000	1,0000	response to osmotic stress
0046129	1	0	0	0	1,0000	1,0000	1,0000	purine ribonucleoside biosynthesis
0046128	3	0	0	0	1,0000	1,0000	1,0000	purine ribonucleoside metabolism
0046125	3	0	0	0	1,0000	1,0000	1,0000	pyrimidine deoxyribonucleoside metabolism
0006968	37	0	1	1	1,0000	0,3488	0,4262	cellular defense response
0046118	1	0	0	0	1,0000	1,0000	1,0000	7-methylguanosine biosynthesis
0046116	1	0	0	0	1,0000	1,0000	1,0000	queuosine metabolism
0046114	1	0	0	0	1,0000	1,0000	1,0000	guanosine biosynthesis
0046113	1	0	0	0	1,0000	1,0000	1,0000	nucleobase catabolism
0046112	4	0	0	0	1,0000	1,0000	1,0000	nucleobase biosynthesis
0006959	50	0	2	2	1,0000	0,1127	0,1703	humoral immune response
0006958	17	0	0	0	1,0000	1,0000	1,0000	complement activation, classical pathway
0006957	8	0	0	0	1,0000	1,0000	1,0000	complement activation, alternative pathway
0006956	28	0	1	1	1,0000	0,2771	0,3431	complement activation
0006955	353	0	11	11	1,0000	0,0025	0,0163	immune response
