GO ID	Total	Under	Over	Change	P-Value (Under)	P-Value (Over)	P-Value (Changed)	Term
0008026	2	0	0	1	1,0000	1,0000	0,1186	ATP-dependent helicase activity
0008023	1	0	0	0	1,0000	1,0000	1,0000	transcription elongation factor complex
0008022	4	0	0	0	1,0000	1,0000	1,0000	protein C-terminus binding
0008016	2	0	0	0	1,0000	1,0000	1,0000	regulation of heart rate
0008015	17	0	0	0	1,0000	1,0000	1,0000	circulation
0008009	4	0	0	2	1,0000	1,0000	0,0204	chemokine activity
0015144	1	0	0	0	1,0000	1,0000	1,0000	carbohydrate transporter activity
0046246	1	0	0	0	1,0000	1,0000	1,0000	terpene biosynthesis
0046209	3	0	0	0	1,0000	1,0000	1,0000	nitric oxide metabolism
0015095	1	0	0	0	1,0000	1,0000	1,0000	magnesium ion transporter activity
0015082	1	0	0	0	1,0000	1,0000	1,0000	di-, tri-valent inorganic cation transporter activity
0015078	1	0	0	0	1,0000	1,0000	1,0000	hydrogen ion transporter activity
0015077	1	0	0	0	1,0000	1,0000	1,0000	monovalent inorganic cation transporter activity
0015075	3	0	0	0	1,0000	1,0000	1,0000	ion transporter activity
0015071	3	0	0	0	1,0000	1,0000	1,0000	protein phosphatase type 2C activity
0015065	1	0	0	0	1,0000	1,0000	1,0000	uridine nucleotide receptor activity
0015057	1	0	0	0	1,0000	1,0000	1,0000	thrombin receptor activity
0015056	1	0	0	0	1,0000	1,0000	1,0000	corticotrophin-releasing factor receptor activity
0015055	1	0	0	0	1,0000	1,0000	1,0000	secretin receptor activity
0015054	1	0	0	0	1,0000	1,0000	1,0000	gastrin receptor activity
0015052	1	0	0	0	1,0000	1,0000	1,0000	beta3-adrenergic receptor activity
0015031	19	0	0	1	1,0000	1,0000	0,7014	protein transport
0015030	1	0	0	1	1,0000	1,0000	0,0611	Cajal body
0015026	1	0	0	0	1,0000	1,0000	1,0000	coreceptor activity
0015020	1	0	0	0	1,0000	1,0000	1,0000	glucuronosyltransferase activity
0006997	9	0	0	0	1,0000	1,0000	1,0000	nuclear organization and biogenesis
0006996	30	0	0	2	1,0000	1,0000	0,5581	organelle organization and biogenesis
0046165	2	0	0	0	1,0000	1,0000	1,0000	alcohol biosynthesis
0046164	3	0	0	1	1,0000	1,0000	0,1726	alcohol catabolism
0006986	4	0	0	0	1,0000	1,0000	1,0000	response to unfolded protein
0018958	1	0	0	0	1,0000	1,0000	1,0000	phenol metabolism
0006979	3	0	0	0	1,0000	1,0000	1,0000	response to oxidative stress
0006978	1	0	0	0	1,0000	1,0000	1,0000	DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator
0006975	2	0	0	0	1,0000	1,0000	1,0000	DNA damage induced protein phosphorylation
0006974	30	0	0	1	1,0000	1,0000	0,8532	response to DNA damage stimulus
0046148	1	0	0	0	1,0000	1,0000	1,0000	pigment biosynthesis
0046146	1	0	0	0	1,0000	1,0000	1,0000	tetrahydrobiopterin metabolism
0006968	7	0	0	0	1,0000	1,0000	1,0000	cellular defense response
0006959	20	0	0	1	1,0000	1,0000	0,7200	humoral immune response
