GO ID	Total	Under	Over	Change	P-Value (Under)	P-Value (Over)	P-Value (Changed)	Term
0008028	1	0	0	0	1.0000	1.0000	1.0000	monocarboxylic acid transporter activity
0008026	3	0	0	0	1.0000	1.0000	1.0000	ATP-dependent helicase activity
0008023	1	0	0	0	1.0000	1.0000	1.0000	transcription elongation factor complex
0008022	5	0	0	0	1.0000	1.0000	1.0000	protein C-terminus binding
0008021	1	0	0	0	1.0000	1.0000	1.0000	synaptic vesicle
0008017	2	0	0	0	1.0000	1.0000	1.0000	microtubule binding
0008016	5	0	0	0	1.0000	1.0000	1.0000	regulation of heart contraction
0008015	10	0	1	1	1.0000	0.1803	0.2917	circulation
0008013	1	0	0	0	1.0000	1.0000	1.0000	beta-catenin binding
0008010	1	0	0	0	1.0000	1.0000	1.0000	structural constituent of larval cuticle (sensu Insecta)
0008009	26	0	7	7	1.0000	0.0000	0.0000	chemokine activity
0015198	2	0	0	0	1.0000	1.0000	1.0000	oligopeptide transporter activity
0015197	2	0	0	0	1.0000	1.0000	1.0000	peptide transporter activity
0015183	1	0	0	0	1.0000	1.0000	1.0000	L-aspartate transporter activity
0015179	1	0	0	0	1.0000	1.0000	1.0000	L-amino acid transporter activity
0015175	1	0	0	0	1.0000	1.0000	1.0000	neutral amino acid transporter activity
0015173	1	0	0	0	1.0000	1.0000	1.0000	aromatic amino acid transporter activity
0015172	1	0	0	0	1.0000	1.0000	1.0000	acidic amino acid transporter activity
0015171	4	0	0	0	1.0000	1.0000	1.0000	amino acid transporter activity
0015149	2	0	0	0	1.0000	1.0000	1.0000	hexose transporter activity
0015145	2	0	0	0	1.0000	1.0000	1.0000	monosaccharide transporter activity
0015144	3	0	0	0	1.0000	1.0000	1.0000	carbohydrate transporter activity
0015132	1	0	0	0	1.0000	1.0000	1.0000	prostaglandin transporter activity
0046246	1	0	0	0	1.0000	1.0000	1.0000	terpene biosynthesis
0046219	2	0	0	0	1.0000	1.0000	1.0000	indolalkylamine biosynthesis
0046209	5	0	0	0	1.0000	1.0000	1.0000	nitric oxide metabolism
0046208	1	0	0	0	1.0000	1.0000	1.0000	spermine catabolism
0010226	1	0	0	0	1.0000	1.0000	1.0000	response to lithium ion
0015082	1	0	0	0	1.0000	1.0000	1.0000	di-, tri-valent inorganic cation transporter activity
0015081	1	0	0	0	1.0000	1.0000	1.0000	sodium ion transporter activity
0015078	2	0	0	0	1.0000	1.0000	1.0000	hydrogen ion transporter activity
0015077	3	0	0	0	1.0000	1.0000	1.0000	monovalent inorganic cation transporter activity
0015075	6	0	0	0	1.0000	1.0000	1.0000	ion transporter activity
0015057	2	0	0	0	1.0000	1.0000	1.0000	thrombin receptor activity
0015036	1	0	0	0	1.0000	1.0000	1.0000	disulfide oxidoreductase activity
0015031	30	1	0	1	0.3523	1.0000	0.6488	protein transport
0015026	8	0	0	0	1.0000	1.0000	1.0000	coreceptor activity
0018993	1	0	1	1	1.0000	0.0196	0.0337	somatic sex determination
0018991	1	0	0	0	1.0000	1.0000	1.0000	oviposition
0018988	1	0	0	0	1.0000	1.0000	1.0000	molting cycle (sensu Protostomia and Nematoda)
0006998	1	0	0	0	1.0000	1.0000	1.0000	nuclear membrane organization and biogenesis
0006997	1	0	0	0	1.0000	1.0000	1.0000	nuclear organization and biogenesis
0006996	58	1	1	2	0.5740	0.6942	0.5951	organelle organization and biogenesis
0006995	1	0	0	0	1.0000	1.0000	1.0000	cellular response to nitrogen starvation
0006990	1	0	0	0	1.0000	1.0000	1.0000	unfolded protein response, positive regulation of target gene transcription
0046165	2	0	0	0	1.0000	1.0000	1.0000	alcohol biosynthesis
0046164	3	0	0	0	1.0000	1.0000	1.0000	alcohol catabolism
0006986	18	0	0	0	1.0000	1.0000	1.0000	response to unfolded protein
0006984	5	0	0	0	1.0000	1.0000	1.0000	ER-nuclear signaling pathway
0006983	2	0	0	0	1.0000	1.0000	1.0000	ER overload response
0018958	4	0	0	0	1.0000	1.0000	1.0000	phenol metabolism
0006979	7	0	0	0	1.0000	1.0000	1.0000	response to oxidative stress
0006978	1	0	0	0	1.0000	1.0000	1.0000	DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator
0006975	1	0	0	0	1.0000	1.0000	1.0000	DNA damage induced protein phosphorylation
0006974	36	0	0	0	1.0000	1.0000	1.0000	response to DNA damage stimulus
0006972	1	0	0	0	1.0000	1.0000	1.0000	hyperosmotic response
0006970	4	0	0	0	1.0000	1.0000	1.0000	response to osmotic stress
0046149	1	0	0	0	1.0000	1.0000	1.0000	pigment catabolism
0046148	1	0	0	0	1.0000	1.0000	1.0000	pigment biosynthesis
0006968	44	1	2	3	0.4738	0.2115	0.1815	cellular defense response
0006966	1	0	0	0	1.0000	1.0000	1.0000	antifungal humoral response (sensu Protostomia)
0006965	1	0	0	0	1.0000	1.0000	1.0000	anti-Gram-positive bacterial polypeptide induction
0006963	3	0	0	0	1.0000	1.0000	1.0000	antibacterial polypeptide induction
0006961	1	0	0	0	1.0000	1.0000	1.0000	antibacterial humoral response (sensu Protostomia)
0006960	2	0	0	0	1.0000	1.0000	1.0000	antimicrobial humoral response (sensu Protostomia)
0006959	59	3	2	5	0.0453	0.3234	0.0429	humoral immune response
0006958	6	0	0	0	1.0000	1.0000	1.0000	complement activation, classical pathway
0006957	3	0	0	0	1.0000	1.0000	1.0000	complement activation, alternative pathway
0006956	14	0	0	0	1.0000	1.0000	1.0000	complement activation
0006955	260	9	11	20	0.0024	0.0034	0.0000	immune response
0006954	101	3	10	13	0.1635	0.0000	0.0000	inflammatory response
0006953	7	0	0	0	1.0000	1.0000	1.0000	acute-phase response
0006952	281	9	12	21	0.0044	0.0016	0.0000	defense response
0006950	268	6	11	17	0.1470	0.0044	0.0021	response to stress
0046128	1	0	0	0	1.0000	1.0000	1.0000	purine ribonucleoside metabolism
0006944	4	0	0	0	1.0000	1.0000	1.0000	membrane fusion
0006941	1	0	0	0	1.0000	1.0000	1.0000	striated muscle contraction
0006937	2	0	0	0	1.0000	1.0000	1.0000	regulation of muscle contraction
0006936	5	1	0	1	0.0689	1.0000	0.1580	muscle contraction
0006935	71	2	8	10	0.2655	0.0000	0.0000	chemotaxis
0006930	1	0	0	0	1.0000	1.0000	1.0000	substrate-bound cell migration, cell extension
0010189	1	0	0	0	1.0000	1.0000	1.0000	vitamin E biosynthesis
0010185	4	0	0	0	1.0000	1.0000	1.0000	regulation of cellular defense response
0006929	1	0	0	0	1.0000	1.0000	1.0000	substrate-bound cell migration
0010181	2	0	0	0	1.0000	1.0000	1.0000	FMN binding
0006928	106	3	7	10	0.1815	0.0024	0.0015	cell motility
0006927	5	0	0	0	1.0000	1.0000	1.0000	transformed cell apoptosis
0006926	1	0	0	0	1.0000	1.0000	1.0000	virus-infected cell apoptosis
0006925	2	0	0	0	1.0000	1.0000	1.0000	inflammatory cell apoptosis
0006924	2	0	0	0	1.0000	1.0000	1.0000	activated T cell apoptosis
0006921	2	0	0	0	1.0000	1.0000	1.0000	disassembly of cell structures during apoptosis
0010176	1	0	0	0	1.0000	1.0000	1.0000	homogentisate phytyltransferase activity
0006919	11	0	0	0	1.0000	1.0000	1.0000	caspase activation
0006917	53	1	0	1	0.5404	1.0000	0.8464	induction of apoptosis
0006916	41	0	1	1	1.0000	0.5637	0.7628	anti-apoptosis
0006915	168	6	4	10	0.0190	0.4240	0.0414	apoptosis
