GO ID	Total	Under	Over	Change	P-Value (Under)	P-Value (Over)	P-Value (Changed)	Term
0008028	1	0	0	0	1.0000	1.0000	1.0000	monocarboxylic acid transporter activity
0008026	3	2	0	2	0.0296	1.0000	0.0782	ATP-dependent helicase activity
0008023	1	0	0	0	1.0000	1.0000	1.0000	transcription elongation factor complex
0008022	5	1	0	1	0.4212	1.0000	0.6115	protein C-terminus binding
0008021	1	1	0	1	0.1034	1.0000	0.1719	synaptic vesicle
0008017	2	0	0	0	1.0000	1.0000	1.0000	microtubule binding
0008016	5	1	0	1	0.4212	1.0000	0.6115	regulation of heart contraction
0008015	10	1	0	1	0.6661	1.0000	0.8499	circulation
0008013	1	0	0	0	1.0000	1.0000	1.0000	beta-catenin binding
0008010	1	0	0	0	1.0000	1.0000	1.0000	structural constituent of larval cuticle (sensu Insecta)
0008009	26	5	6	11	0.1213	0.0063	0.0020	chemokine activity
0015198	2	1	0	1	0.1962	1.0000	0.3144	oligopeptide transporter activity
0015197	2	1	0	1	0.1962	1.0000	0.3144	peptide transporter activity
0015183	1	0	0	0	1.0000	1.0000	1.0000	L-aspartate transporter activity
0015179	1	0	0	0	1.0000	1.0000	1.0000	L-amino acid transporter activity
0015175	1	0	0	0	1.0000	1.0000	1.0000	neutral amino acid transporter activity
0015173	1	0	0	0	1.0000	1.0000	1.0000	aromatic amino acid transporter activity
0015172	1	0	0	0	1.0000	1.0000	1.0000	acidic amino acid transporter activity
0015171	4	0	0	0	1.0000	1.0000	1.0000	amino acid transporter activity
0015149	2	0	0	0	1.0000	1.0000	1.0000	hexose transporter activity
0015145	2	0	0	0	1.0000	1.0000	1.0000	monosaccharide transporter activity
0015144	3	0	0	0	1.0000	1.0000	1.0000	carbohydrate transporter activity
0015132	1	0	0	0	1.0000	1.0000	1.0000	prostaglandin transporter activity
0046246	1	0	0	0	1.0000	1.0000	1.0000	terpene biosynthesis
0046219	2	1	0	1	0.1962	1.0000	0.3144	indolalkylamine biosynthesis
0046209	5	0	1	1	1.0000	0.2994	0.6115	nitric oxide metabolism
0046208	1	0	0	0	1.0000	1.0000	1.0000	spermine catabolism
0010226	1	0	0	0	1.0000	1.0000	1.0000	response to lithium ion
0015082	1	0	1	1	1.0000	0.0686	0.1719	di-, tri-valent inorganic cation transporter activity
0015081	1	0	0	0	1.0000	1.0000	1.0000	sodium ion transporter activity
0015078	2	0	0	0	1.0000	1.0000	1.0000	hydrogen ion transporter activity
0015077	3	0	0	0	1.0000	1.0000	1.0000	monovalent inorganic cation transporter activity
0015075	6	0	1	1	1.0000	0.3477	0.6787	ion transporter activity
0015057	2	0	0	0	1.0000	1.0000	1.0000	thrombin receptor activity
0015036	1	0	0	0	1.0000	1.0000	1.0000	disulfide oxidoreductase activity
0015031	30	6	1	7	0.0798	0.8854	0.2455	protein transport
0015026	8	0	1	1	1.0000	0.4347	0.7803	coreceptor activity
0018993	1	0	1	1	1.0000	0.0686	0.1719	somatic sex determination
