GO ID	Total	Under	Over	Change	P-Value (Under)	P-Value (Over)	P-Value (Changed)	Term
45793	1	0	0	0	1	1	1	positive regulation of cell size
45792	1	0	0	0	1	1	1	negative regulation of cell size
45787	1	0	0	0	1	1	1	positive regulation of cell cycle
45786	40	1	0	1	0.2644	1	0.2644	negative regulation of cell cycle
45785	2	0	0	0	1	1	1	positive regulation of cell adhesion
45773	1	0	0	0	1	1	1	positive regulation of axon extension
45768	1	0	0	0	1	1	1	positive regulation of anti-apoptosis
45767	3	0	0	0	1	1	1	regulation of anti-apoptosis
45766	1	0	0	0	1	1	1	positive regulation of angiogenesis
45765	12	0	0	0	1	1	1	regulation of angiogenesis
45761	9	0	0	0	1	1	1	regulation of adenylate cyclase activity
45749	3	0	0	0	1	1	1	negative regulation of S phase of mitotic cell cycle
45746	2	0	0	0	1	1	1	negative regulation of Notch signaling pathway
45744	2	0	0	0	1	1	1	negative regulation of G-protein coupled receptor protein signaling pathway
45739	2	0	0	0	1	1	1	positive regulation of DNA repair
45736	3	0	0	0	1	1	1	negative regulation of CDK activity
19483	1	0	0	0	1	1	1	beta-alanine biosynthesis
45727	1	0	0	0	1	1	1	positive regulation of protein biosynthesis
19482	1	0	0	0	1	1	1	beta-alanine metabolism
19478	1	0	0	0	1	1	1	D-amino acid catabolism
19471	1	0	0	0	1	1	1	4-hydroxyproline metabolism
45705	1	0	0	0	1	1	1	negative regulation of salivary gland determination
45704	1	0	0	0	1	1	1	regulation of salivary gland determination
7498	27	0	0	0	1	1	1	mesoderm development
7494	1	0	0	0	1	1	1	midgut development
7492	4	0	0	0	1	1	1	endoderm development
19452	1	0	0	0	1	1	1	L-cysteine catabolism to taurine
7487	2	0	0	0	1	1	1	analia morphogenesis (sensu Holometabola)
7486	1	0	0	0	1	1	1	female genital morphogenesis (sensu Holometabola)
7485	1	0	0	0	1	1	1	male genital morphogenesis (sensu Holometabola)
7484	1	0	0	0	1	1	1	genital morphogenesis (sensu Holometabola)
7483	2	0	0	0	1	1	1	genital disc metamorphosis
7482	1	0	0	0	1	1	1	haltere morphogenesis
7481	1	0	0	0	1	1	1	haltere disc metamorphosis
7480	1	0	0	0	1	1	1	leg morphogenesis (sensu Holometabola)
19448	1	0	0	0	1	1	1	L-cysteine catabolism
