GO ID	Total	Under	Over	Change	P-Value (Under)	P-Value (Over)	P-Value (Changed)	Term
8029	1	0	0	0	1	1	1	pentraxin receptor activity
8028	8	2	0	2	0.0007	1	0.0007	monocarboxylic acid transporter activity
8026	27	0	0	0	1	1	1	ATP-dependent helicase activity
8025	1	0	0	0	1	1	1	diazepam binding inhibitor activity
8023	3	0	0	0	1	1	1	transcription elongation factor complex
8022	13	0	0	0	1	1	1	protein C-terminus binding
8021	29	0	0	0	1	1	1	synaptic vesicle
8020	4	0	0	0	1	1	1	G-protein coupled photoreceptor activity
8017	14	0	0	0	1	1	1	microtubule binding
8016	16	0	0	0	1	1	1	regulation of heart rate
8015	55	0	0	0	1	1	1	circulation
8014	12	0	0	0	1	1	1	calcium-dependent cell adhesion molecule activity
8013	4	0	0	0	1	1	1	beta-catenin binding
8009	7	0	0	0	1	1	1	chemokine activity
15198	5	0	0	0	1	1	1	oligopeptide transporter activity
15197	5	0	0	0	1	1	1	peptide transporter activity
15196	1	0	0	0	1	1	1	L-tryptophan transporter activity
15194	1	0	0	0	1	1	1	L-serine transporter activity
15189	1	0	0	0	1	1	1	L-lysine transporter activity
15187	1	0	0	0	1	1	1	glycine transporter activity
15185	1	0	0	0	1	1	1	L-gamma-aminobutyric acid transporter activity
15184	1	0	0	0	1	1	1	L-cystine transporter activity
15183	1	0	0	0	1	1	1	L-aspartate transporter activity
15181	1	0	0	0	1	1	1	L-arginine transporter activity
15179	10	0	0	0	1	1	1	L-amino acid transporter activity
15175	5	0	0	0	1	1	1	neutral amino acid transporter activity
15174	4	0	0	0	1	1	1	basic amino acid transporter activity
15173	1	0	0	0	1	1	1	aromatic amino acid transporter activity
15172	3	0	0	0	1	1	1	acidic amino acid transporter activity
15171	26	0	0	0	1	1	1	amino acid transporter activity
15166	1	0	0	0	1	1	1	polyol transporter activity
15165	2	1	0	1	0.0103	1	0.0103	pyrimidine nucleotide sugar transporter activity
15157	1	0	0	0	1	1	1	oligosaccharide transporter activity
15154	1	0	0	0	1	1	1	disaccharide transporter activity
15149	7	0	0	0	1	1	1	hexose transporter activity
15145	7	0	0	0	1	1	1	monosaccharide transporter activity
15144	16	1	0	1	0.0794	1	0.0794	carbohydrate transporter activity
15142	1	0	0	0	1	1	1	tricarboxylic acid transporter activity
15137	1	0	0	0	1	1	1	citrate transporter activity
15126	1	1	0	1	0.0051	1	0.0051	canalicular bile acid transporter activity
15125	5	2	0	2	0.0003	1	0.0003	bile acid transporter activity
15116	5	0	0	0	1	1	1	sulfate transporter activity
15114	3	0	0	0	1	1	1	phosphate transporter activity
15111	2	0	0	0	1	1	1	iodide transporter activity
15108	11	0	0	0	1	1	1	chloride transporter activity
15106	9	0	0	0	1	1	1	bicarbonate transporter activity
15105	3	0	0	0	1	1	1	arsenite transporter activity
15103	18	0	0	0	1	1	1	inorganic anion transporter activity
15101	7	0	0	0	1	1	1	organic cation transporter activity
46283	1	0	0	0	1	1	1	anthocyanin metabolism
46271	1	0	0	0	1	1	1	phenylpropanoid catabolism
46246	2	0	0	0	1	1	1	terpene biosynthesis
46219	4	0	0	0	1	1	1	indolalkylamine biosynthesis
46218	3	0	0	0	1	1	1	indolalkylamine catabolism
46209	9	0	0	0	1	1	1	nitric oxide metabolism
15098	1	0	0	0	1	1	1	molybdate ion transporter activity
15097	2	0	0	0	1	1	1	mercury ion transporter activity
15095	1	0	0	0	1	1	1	magnesium ion transporter activity
15087	4	0	0	0	1	1	1	cobalt ion transporter activity
15086	1	0	0	0	1	1	1	cadmium ion transporter activity
15085	9	1	0	1	0.0454	1	0.0454	calcium ion transporter activity
