GO ID	Total	Under	Over	Change	P-Value (Under)	P-Value (Over)	P-Value (Changed)	Term
8029	1	0	0	0	1	1	1	pentraxin receptor activity
8028	7	0	0	0	1	1	1	monocarboxylic acid transporter activity
8026	19	1	0	1	0.4933	1	0.4933	ATP-dependent helicase activity
8023	2	0	0	0	1	1	1	transcription elongation factor complex
8022	11	0	0	0	1	1	1	protein C-terminus binding
8021	20	0	0	0	1	1	1	synaptic vesicle
8020	4	0	0	0	1	1	1	G-protein coupled photoreceptor activity
8017	14	0	0	0	1	1	1	microtubule binding
8016	8	0	0	0	1	1	1	regulation of heart rate
8015	42	4	0	4	0.0578	1	0.0578	circulation
8013	5	0	0	0	1	1	1	beta-catenin binding
8009	5	0	0	0	1	1	1	chemokine activity
15198	5	0	0	0	1	1	1	oligopeptide transporter activity
15197	5	0	0	0	1	1	1	peptide transporter activity
15196	1	0	0	0	1	1	1	L-tryptophan transporter activity
15194	1	0	0	0	1	1	1	L-serine transporter activity
15189	1	0	0	0	1	1	1	L-lysine transporter activity
15187	1	0	0	0	1	1	1	glycine transporter activity
15185	1	0	0	0	1	1	1	L-gamma-aminobutyric acid transporter activity
15183	1	0	0	0	1	1	1	L-aspartate transporter activity
15181	1	0	0	0	1	1	1	L-arginine transporter activity
15179	8	0	0	0	1	1	1	L-amino acid transporter activity
15175	4	0	0	0	1	1	1	neutral amino acid transporter activity
15174	3	0	0	0	1	1	1	basic amino acid transporter activity
15173	1	0	0	0	1	1	1	aromatic amino acid transporter activity
15172	3	0	0	0	1	1	1	acidic amino acid transporter activity
15171	20	0	0	0	1	1	1	amino acid transporter activity
15165	2	0	0	0	1	1	1	pyrimidine nucleotide sugar transporter activity
15157	1	0	0	0	1	1	1	oligosaccharide transporter activity
15154	1	0	0	0	1	1	1	disaccharide transporter activity
15149	6	0	0	0	1	1	1	hexose transporter activity
15145	6	0	0	0	1	1	1	monosaccharide transporter activity
15144	12	0	0	0	1	1	1	carbohydrate transporter activity
15126	1	0	0	0	1	1	1	canalicular bile acid transporter activity
15125	4	0	0	0	1	1	1	bile acid transporter activity
15116	3	0	0	0	1	1	1	sulfate transporter activity
15114	3	1	0	1	0.1016	1	0.1016	phosphate transporter activity
15111	1	0	0	0	1	1	1	iodide transporter activity
15108	8	1	0	1	0.2486	1	0.2486	chloride transporter activity
15106	8	1	0	1	0.2486	1	0.2486	bicarbonate transporter activity
15105	2	0	0	0	1	1	1	arsenite transporter activity
15103	13	2	0	2	0.0739	1	0.0739	inorganic anion transporter activity
15101	5	0	0	0	1	1	1	organic cation transporter activity
46271	1	0	0	0	1	1	1	phenylpropanoid catabolism
46246	1	0	0	0	1	1	1	terpene biosynthesis
46219	3	1	0	1	0.1016	1	0.1016	indolalkylamine biosynthesis
46218	2	0	0	0	1	1	1	indolalkylamine catabolism
46209	9	0	0	0	1	1	1	nitric oxide metabolism
46203	1	0	0	0	1	1	1	spermidine catabolism
15098	1	0	0	0	1	1	1	molybdate ion transporter activity
15097	2	0	0	0	1	1	1	mercury ion transporter activity
15095	1	0	0	0	1	1	1	magnesium ion transporter activity
15087	4	0	0	0	1	1	1	cobalt ion transporter activity
15086	1	0	0	0	1	1	1	cadmium ion transporter activity
15085	8	0	0	0	1	1	1	calcium ion transporter activity
15082	18	0	0	0	1	1	1	"di-, tri-valent inorganic cation transporter activity"
15081	21	0	0	0	1	1	1	sodium ion transporter activity
15078	52	1	0	1	0.8458	1	0.8458	hydrogen ion transporter activity
15077	57	2	0	2	0.6006	1	0.6006	monovalent inorganic cation transporter activity
15075	110	5	0	5	0.3422	1	0.3422	ion transporter activity
15074	2	0	0	0	1	1	1	DNA integration
15071	5	0	0	0	1	1	1	protein phosphatase type 2C activity
15069	1	0	0	0	1	1	1	scyllo-inosamine-4-phosphate amidinotransferase activity
15068	1	0	0	0	1	1	1	glycine amidinotransferase activity
15067	1	0	0	0	1	1	1	amidinotransferase activity
15066	1	0	0	0	1	1	1	alpha-amylase inhibitor activity
15065	1	0	0	0	1	1	1	uridine nucleotide receptor activity
15057	1	0	0	0	1	1	1	thrombin receptor activity
15056	1	0	0	0	1	1	1	corticotrophin-releasing factor receptor activity
15054	2	0	0	0	1	1	1	gastrin receptor activity
15049	1	0	0	0	1	1	1	methane monooxygenase activity
15042	1	0	0	0	1	1	1	trypanothione-disulfide reductase activity
15038	2	0	0	0	1	1	1	glutathione disulfide oxidoreductase activity
15037	2	0	0	0	1	1	1	peptide disulfide oxidoreductase activity
15036	13	1	0	1	0.3717	1	0.3717	disulfide oxidoreductase activity
15035	5	1	0	1	0.1635	1	0.1635	protein disulfide oxidoreductase activity
15031	188	6	0	6	0.6542	1	0.6542	protein transport
15030	3	0	0	0	1	1	1	Cajal body
15027	1	0	0	0	1	1	1	"coreceptor, soluble ligand activity"
15026	12	0	0	0	1	1	1	coreceptor activity
15020	8	0	0	0	1	1	1	glucuronosyltransferase activity
15018	2	0	0	0	1	1	1	galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity
15016	2	0	0	0	1	1	1	[heparan sulfate]-glucosamine N-sulfotransferase activity
15012	5	0	0	0	1	1	1	heparan sulfate proteoglycan biosynthesis
15009	1	0	0	0	1	1	1	corrin metabolism
15008	1	0	0	0	1	1	1	ubiquinol-cytochrome-c reductase complex (sensu Eukarya)
18995	1	0	0	0	1	1	1	host
18994	1	0	0	0	1	1	1	polar granule
15002	11	1	0	1	0.3251	1	0.3251	heme-copper terminal oxidase activity
18993	1	0	0	0	1	1	1	somatic sex determination
18992	1	0	0	0	1	1	1	germ-line sex determination
18990	1	0	0	0	1	1	1	ecdysis (sensu Insecta)
18988	1	0	0	0	1	1	1	molting cycle (sensu Protostomia and Nematoda)
18987	2	0	0	0	1	1	1	osmoregulation
46184	1	0	0	0	1	1	1	aldehyde biosynthesis
6999	2	0	0	0	1	1	1	nuclear pore organization and biogenesis
6997	74	3	0	3	0.4844	1	0.4844	nuclear organization and biogenesis
6996	215	9	0	9	0.34	1	0.34	organelle organization and biogenesis
6992	1	0	0	0	1	1	1	"sterol depletion response, sterol regulatory element binding-protein cleavage"
6991	2	0	0	0	1	1	1	response to sterol depletion
6990	1	0	0	0	1	1	1	"unfolded protein response, target gene transcriptional activation"
46165	13	1	0	1	0.3717	1	0.3717	alcohol biosynthesis
46164	28	0	0	0	1	1	1	alcohol catabolism
6986	4	0	0	0	1	1	1	response to unfolded protein
6982	1	0	0	0	1	1	1	response to lipid hydroperoxide
18958	8	1	0	1	0.2486	1	0.2486	phenol metabolism
46158	1	0	0	0	1	1	1	ocellus pigment metabolism
46156	1	0	0	0	1	1	1	siroheme metabolism
46152	1	0	0	0	1	1	1	ommochrome metabolism
6979	26	1	0	1	0.606	1	0.606	response to oxidative stress
6978	2	1	0	1	0.0689	1	0.0689	"DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator"
6977	1	0	0	0	1	1	1	"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest"
6975	1	0	0	0	1	1	1	DNA damage induced protein phosphorylation
6974	93	3	0	3	0.6406	1	0.6406	response to DNA damage stimulus
6972	2	0	0	0	1	1	1	hyperosmotic response
6971	1	0	0	0	1	1	1	hypotonic response
6970	6	0	0	0	1	1	1	response to osmotic stress
46149	1	0	0	0	1	1	1	pigment catabolism
46148	11	3	0	3	0.0057	1	0.0057	pigment biosynthesis
46146	5	0	0	0	1	1	1	tetrahydrobiopterin metabolism
46140	1	0	0	0	1	1	1	corrin biosynthesis
6968	41	1	0	1	0.7705	1	0.7705	cellular defense response
6966	3	0	0	0	1	1	1	antifungal humoral response (sensu Protostomia)
6965	2	0	0	0	1	1	1	anti-Gram-positive bacterial polypeptide induction
6963	2	0	0	0	1	1	1	antibacterial polypeptide induction
6961	2	0	0	0	1	1	1	antibacterial humoral response (sensu Protostomia)
6960	4	0	0	0	1	1	1	antimicrobial humoral response (sensu Protostomia)
46139	4	0	0	0	1	1	1	coenzyme and prosthetic group catabolism
46138	16	1	0	1	0.4358	1	0.4358	coenzyme and prosthetic group biosynthesis
46131	1	0	0	0	1	1	1	pyrimidine ribonucleoside metabolism
6959	74	2	0	2	0.7402	1	0.7402	humoral immune response
6958	11	0	0	0	1	1	1	"complement activation, classical pathway"
