GO ID	Total	Under	Over	Change	P-Value (Under)	P-Value (Over)	P-Value (Changed)	Term
8029	1	0	0	0	1	1	1	pentraxin receptor activity
8028	6	0	0	0	1	1	1	monocarboxylic acid transporter activity
8026	18	1	0	1	0.4764	1	0.4764	ATP-dependent helicase activity
8023	2	0	0	0	1	1	1	transcription elongation factor complex
8022	11	0	0	0	1	1	1	protein C-terminus binding
8021	19	0	0	0	1	1	1	synaptic vesicle
8020	3	0	0	0	1	1	1	G-protein coupled photoreceptor activity
8017	13	0	0	0	1	1	1	microtubule binding
8016	6	0	0	0	1	1	1	regulation of heart rate
8015	40	4	0	4	0.0505	1	0.0505	circulation
8013	4	0	0	0	1	1	1	beta-catenin binding
8009	4	0	0	0	1	1	1	chemokine activity
15198	4	0	0	0	1	1	1	oligopeptide transporter activity
15197	4	0	0	0	1	1	1	peptide transporter activity
15196	1	0	0	0	1	1	1	L-tryptophan transporter activity
15194	1	0	0	0	1	1	1	L-serine transporter activity
15189	1	0	0	0	1	1	1	L-lysine transporter activity
15187	1	0	0	0	1	1	1	glycine transporter activity
15185	1	0	0	0	1	1	1	L-gamma-aminobutyric acid transporter activity
15183	1	0	0	0	1	1	1	L-aspartate transporter activity
15181	1	0	0	0	1	1	1	L-arginine transporter activity
15179	8	0	0	0	1	1	1	L-amino acid transporter activity
15175	4	0	0	0	1	1	1	neutral amino acid transporter activity
15174	3	0	0	0	1	1	1	basic amino acid transporter activity
15173	1	0	0	0	1	1	1	aromatic amino acid transporter activity
15172	3	0	0	0	1	1	1	acidic amino acid transporter activity
15171	19	0	0	0	1	1	1	amino acid transporter activity
15165	2	0	0	0	1	1	1	pyrimidine nucleotide sugar transporter activity
15157	1	0	0	0	1	1	1	oligosaccharide transporter activity
15149	5	0	0	0	1	1	1	hexose transporter activity
15145	5	0	0	0	1	1	1	monosaccharide transporter activity
15144	11	0	0	0	1	1	1	carbohydrate transporter activity
15126	1	0	0	0	1	1	1	canalicular bile acid transporter activity
15125	3	0	0	0	1	1	1	bile acid transporter activity
15116	2	0	0	0	1	1	1	sulfate transporter activity
15114	2	1	0	1	0.0692	1	0.0692	phosphate transporter activity
15112	1	0	0	0	1	1	1	nitrate transporter activity
15111	1	0	0	0	1	1	1	iodide transporter activity
15108	7	1	0	1	0.2221	1	0.2221	chloride transporter activity
15106	7	1	0	1	0.2221	1	0.2221	bicarbonate transporter activity
15105	1	0	0	0	1	1	1	arsenite transporter activity
15103	13	2	0	2	0.0745	1	0.0745	inorganic anion transporter activity
15101	6	0	0	0	1	1	1	organic cation transporter activity
46219	2	1	0	1	0.0692	1	0.0692	indolalkylamine biosynthesis
46218	1	0	0	0	1	1	1	indolalkylamine catabolism
46209	9	1	0	1	0.2761	1	0.2761	nitric oxide metabolism
46203	1	0	0	0	1	1	1	spermidine catabolism
15099	1	0	0	0	1	1	1	nickel ion transporter activity
15097	1	0	0	0	1	1	1	mercury ion transporter activity
15095	1	0	0	0	1	1	1	magnesium ion transporter activity
15094	1	0	0	0	1	1	1	lead ion transporter activity
15087	3	0	0	0	1	1	1	cobalt ion transporter activity
15086	1	0	0	0	1	1	1	cadmium ion transporter activity
15085	7	0	0	0	1	1	1	calcium ion transporter activity
15082	17	0	0	0	1	1	1	"di-, tri-valent inorganic cation transporter activity"
15081	20	0	0	0	1	1	1	sodium ion transporter activity
15078	52	1	0	1	0.8471	1	0.8471	hydrogen ion transporter activity
15077	57	2	0	2	0.6031	1	0.6031	monovalent inorganic cation transporter activity
15075	112	5	0	5	0.3599	1	0.3599	ion transporter activity
15074	1	0	0	0	1	1	1	DNA integration
15071	5	0	0	0	1	1	1	protein phosphatase type 2C activity
